Location,Latitude,Longitude,Distance
A1D,42.813352,-70.809492,561.54
A1B,42.813355,-70.809169,561.54
A1T,42.813367,-70.808561,561.54
A2D,42.805392,-70.808136,1440.44
A2B,42.805393,-70.807851,1440.44
A2T,42.80536,-70.807338,1440.44
A3D,42.796707,-70.807985,2381.83
A3B,42.796729,-70.807855,2381.83
A3T,42.796744,-70.807644,2381.83
A4D,42.794575,-70.807464,2620.39
A4B,42.794611,-70.80731,2620.39
A4T,42.794668,-70.807039,2620.39
A5D,42.789769,-70.806687,3164.9
A5B,42.789786,-70.80639,3164.9
A5T,42.789811,-70.806002,3164.9
P1D,42.782183,-70.804738,4006.37
P1B,42.782198,-70.804638,4006.37
P1T,42.782237,-70.804451,4006.37
P2D,42.773376,-70.802336,5013.16
P2B,42.773419,-70.802121,5013.16
P2T,42.773439,-70.801764,5013.16
P3D,42.76473,-70.799552,5997.67
P3B,42.764759,-70.799318,5997.67
P3T,42.764832,-70.799943,5997.67
P4D,42.755831,-70.796295,7017.76
P4B,42.755891,-70.796058,7017.76
P4T,42.755944,-70.795811,7017.76
P5D,42.74733,-70.792746,8008.91
P5B,42.747361,-70.79257,8008.91
P5T,42.747457,-70.79216,8008.91
P6D,42.738844,-70.788785,9000.54
P6B,42.738907,-70.788502,9000.54
P6T,42.739,-70.788017,9000.54
P7D,42.730541,-70.784492,9982.85
P7B,42.730603,-70.784296,9982.85
P7T,42.73083,-70.78378,9982.85
P8D,42.722174,-70.77973,10987.83
P8B,42.722261,-70.77948,10987.83
P8T,42.722924,-70.77901,10987.83
P9D,42.714087,-70.774992,11978.42
P9B,42.714127,-70.774708,11978.42
P9T,42.71428,-70.774198,11978.42
P10D,42.706378,-70.77207,12871.69
P10B,42.706418,-70.771798,12871.69
P10T,42.706507,-70.77144,12871.69
